,0
0,montana
1,connecticut
2,maine
3,idaho
4,kentucky
5,wisconsin
6,south dakota
7,illinois
8,tennessee
9,missouri
10,pennsylvania
11,new hampshire
12,nebraska
13,hawaii
14,florida
15,minnesota
16,louisiana
17,alabama
18,south carolina
19,iowa
20,arizona
21,massachusetts
22,kansas
23,oregon
24,texas
25,indiana
26,north dakota
27,delaware
28,maryland
29,new jersey
30,virginia
31,nevada
32,oklahoma
33,georgia
34,washington
35,west virginia
36,mississippi
37,rhode island
38,new york
39,north carolina
40,wyoming
41,utah
42,michigan
43,new mexico
44,vermont
45,california
46,alaska
47,colorado
48,arkansas
